,Time in seconds,Acceleration reading in G for frontal axis,Acceleration reading in G for vertical axis,Acceleration reading in G for lateral axis,Id of antenna reading sensor,Received signal strength indicator (RSSI),Phase,Frequency
0,258.75,0.29548,0.93932,-0.070699,3.0,-68.5,6.2203,921.25
1,259.0,0.29548,0.93932,-0.070699,3.0,-62.5,6.0055,921.75
2,259.5,0.29548,0.97377,-0.15052,3.0,-59.5,1.5294,923.25
3,260.0,0.27203,0.97377,-0.11631,3.0,-61.5,6.0224,925.75
4,260.5,0.27203,0.97377,-0.11631,3.0,-66.0,5.7356,924.75
5,260.75,0.27203,0.97377,-0.11631,1.0,-67.5,5.1634,922.75
6,261.0,0.27203,0.97377,-0.11631,2.0,-59.5,0.12885,921.25
7,263.0,0.1665,0.97377,-0.17333,3.0,-66.5,5.9703,922.75
8,263.25,0.1665,0.97377,-0.17333,3.0,-67.0,1.9436,923.75
9,263.75,0.63552,0.82449,-0.070699,3.0,-59.5,6.1329,920.75
10,263.85,0.63552,0.82449,-0.070699,3.0,-59.0,5.7647,920.75
11,265.0,0.28376,0.45703,-0.77769,3.0,-69.5,4.783,924.25
12,265.5,0.40101,0.19292,-1.0856,3.0,-61.0,6.0623,922.75
13,265.57,0.40101,0.19292,-1.0856,3.0,-61.5,6.1589,922.75
14,265.75,0.40101,0.19292,-1.0856,2.0,-49.5,1.965,923.75
15,265.82,0.40101,0.19292,-1.0856,2.0,-49.5,1.9804,923.75
16,266.0,0.20168,0.31923,-1.0628,3.0,-61.5,4.7523,921.25
17,266.07,0.20168,0.31923,-1.0628,3.0,-61.5,1.5892,921.25
18,266.25,0.14305,0.26182,-1.04,2.0,-47.0,2.2457,921.75
19,266.5,0.14305,0.26182,-1.04,2.0,-47.5,2.2074,921.75
20,266.57,0.0023451,0.29627,-1.0286,3.0,-62.5,0.13806,921.75
21,266.75,0.0023451,0.29627,-1.0286,2.0,-53.5,0.48474,923.25
22,267.0,-0.20871,0.2733,-0.88031,3.0,-67.0,5.7018,925.25
23,348.75,0.28376,0.96229,0.10035,2.0,-66.0,5.1588,920.75
24,349.5,0.28376,0.96229,0.10035,2.0,-63.5,5.2201,923.25
25,351.75,0.35411,0.92784,0.031928,3.0,-63.5,4.8857,922.25
26,353.75,0.18995,1.0427,-0.17333,1.0,-68.5,1.4573,921.75
27,355.25,0.31893,0.90487,-0.19613,3.0,-61.5,1.4189,924.75
28,355.5,0.31893,0.90487,-0.19613,3.0,-59.0,0.33441,922.75
29,355.75,0.31893,0.90487,-0.19613,3.0,-59.5,6.1144,923.75
30,356.5,0.61207,0.85894,-0.23034,1.0,-63.0,5.415,922.25
31,356.58,0.61207,0.85894,-0.23034,1.0,-63.0,5.4533,922.25
32,357.0,0.60034,0.83597,-0.25315,3.0,-59.5,1.5616,925.25
33,358.0,0.54171,0.88191,-0.28736,2.0,-59.0,1.8024,922.75
34,358.13,0.54171,0.88191,-0.28736,1.0,-69.5,2.1276,922.75
35,360.75,0.63552,0.80152,0.0091224,1.0,-53.0,6.251,923.75
36,360.83,0.35411,0.97377,-0.29876,1.0,-49.0,5.5193,921.25
37,360.88,0.35411,0.97377,-0.29876,1.0,-49.0,5.688,921.25
38,361.0,0.35411,0.97377,-0.29876,1.0,-49.5,6.1221,921.25
39,361.1,0.28376,0.91636,-0.26455,1.0,-50.0,0.75165,920.75
40,362.25,0.44791,0.88191,-0.16192,1.0,-54.5,4.1556,924.25
41,362.75,0.2603,0.98526,-0.26455,1.0,-51.5,2.6707,922.75
42,363.25,0.48309,1.0656,-0.23034,1.0,-51.5,1.2118,921.25
43,363.33,0.29548,0.95081,-0.20754,1.0,-52.5,0.97868,921.25
44,366.75,0.17823,0.96229,-0.12771,1.0,-63.0,0.88204,925.25
45,370.75,0.88175,0.66373,-0.093505,1.0,-60.0,6.254,920.75
46,373.25,0.88175,0.66373,-0.093505,1.0,-60.0,6.2387,920.75
47,374.25,0.88175,0.66373,-0.093505,1.0,-59.0,0.33134,920.25
48,375.75,0.88175,0.66373,-0.093505,1.0,-59.5,5.5561,921.75
49,380.25,1.128,0.57186,0.0091224,1.0,-59.0,5.6343,921.25
50,381.0,1.128,0.57186,0.0091224,1.0,-59.0,5.1526,922.25
51,382.75,1.128,0.57186,0.0091224,1.0,-59.0,5.7371,921.25
52,383.5,1.128,0.57186,0.0091224,1.0,-59.5,4.5682,923.25
53,385.0,1.128,0.57186,0.0091224,1.0,-59.5,4.3979,923.75
54,387.5,0.91693,0.64076,-0.070699,1.0,-61.0,1.014,923.75
55,388.5,0.91693,0.64076,-0.070699,1.0,-60.0,4.7446,923.25
56,390.5,0.91693,0.64076,-0.070699,1.0,-60.5,5.2339,922.25
57,392.5,0.91693,0.64076,-0.070699,1.0,-60.5,6.004,921.25
58,395.0,1.0811,0.57186,-0.0022806,1.0,-59.0,6.116,920.75
59,396.03,1.0811,0.57186,-0.0022806,1.0,-59.0,0.33287,920.25
60,397.75,1.0811,0.57186,-0.0022806,1.0,-59.0,5.4855,921.75
61,400.0,0.97555,0.60631,-0.047893,1.0,-59.0,5.6328,921.75
62,401.0,0.97555,0.60631,-0.047893,1.0,-59.5,0.28225,920.25
63,402.75,0.97555,0.60631,-0.047893,1.0,-59.5,5.0683,922.25
64,404.75,0.97555,0.60631,-0.047893,1.0,-59.5,5.8261,921.25
65,409.5,0.91693,0.64076,-0.082102,1.0,-60.0,5.8322,921.25
66,412.25,0.91693,0.64076,-0.082102,1.0,-59.5,6.0914,920.75
67,419.5,0.91693,0.64076,-0.082102,1.0,-59.5,0.54917,920.75
68,421.75,0.91693,0.64076,-0.082102,1.0,-59.5,0.0061359,921.25
69,423.0,0.91693,0.64076,-0.082102,1.0,-63.0,0.14573,925.75
70,427.0,0.91693,0.64076,-0.082102,1.0,-60.5,5.1772,922.25
71,434.25,0.91693,0.64076,-0.082102,1.0,-60.5,5.5346,921.75
72,441.0,0.9052,0.64076,-0.082102,1.0,-59.5,5.6957,921.25
73,442.5,0.9052,0.64076,-0.082102,1.0,-63.5,6.2571,925.75
74,444.0,0.9052,0.64076,-0.082102,1.0,-59.5,1.9574,922.25
75,449.0,0.9052,0.64076,-0.082102,1.0,-59.0,6.254,922.25
76,451.5,0.42446,0.91636,-0.16192,1.0,-53.0,5.7156,922.25
77,451.58,0.42446,0.91636,-0.16192,1.0,-52.0,5.8982,922.25
78,452.25,0.58862,0.87042,-0.082102,1.0,-60.0,5.7033,925.75
79,258.75,0.29548,0.93932,-0.070699,3.0,-68.5,6.2203,921.25
80,259.0,0.29548,0.93932,-0.070699,3.0,-62.5,6.0055,921.75
81,259.5,0.29548,0.97377,-0.15052,3.0,-59.5,1.5294,923.25
82,260.0,0.27203,0.97377,-0.11631,3.0,-61.5,6.0224,925.75
83,260.5,0.27203,0.97377,-0.11631,3.0,-66.0,5.7356,924.75
84,260.75,0.27203,0.97377,-0.11631,1.0,-67.5,5.1634,922.75
85,261.0,0.27203,0.97377,-0.11631,2.0,-59.5,0.12885,921.25
86,263.0,0.1665,0.97377,-0.17333,3.0,-66.5,5.9703,922.75
87,263.25,0.1665,0.97377,-0.17333,3.0,-67.0,1.9436,923.75
88,263.75,0.63552,0.82449,-0.070699,3.0,-59.5,6.1329,920.75
89,263.85,0.63552,0.82449,-0.070699,3.0,-59.0,5.7647,920.75
90,265.0,0.28376,0.45703,-0.77769,3.0,-69.5,4.783,924.25
91,265.5,0.40101,0.19292,-1.0856,3.0,-61.0,6.0623,922.75
92,265.57,0.40101,0.19292,-1.0856,3.0,-61.5,6.1589,922.75
93,265.75,0.40101,0.19292,-1.0856,2.0,-49.5,1.965,923.75
94,265.82,0.40101,0.19292,-1.0856,2.0,-49.5,1.9804,923.75
95,266.0,0.20168,0.31923,-1.0628,3.0,-61.5,4.7523,921.25
96,266.07,0.20168,0.31923,-1.0628,3.0,-61.5,1.5892,921.25
97,266.25,0.14305,0.26182,-1.04,2.0,-47.0,2.2457,921.75
98,266.5,0.14305,0.26182,-1.04,2.0,-47.5,2.2074,921.75
99,266.57,0.0023451,0.29627,-1.0286,3.0,-62.5,0.13806,921.75
100,266.75,0.0023451,0.29627,-1.0286,2.0,-53.5,0.48474,923.25
101,267.0,-0.20871,0.2733,-0.88031,3.0,-67.0,5.7018,925.25
102,348.75,0.28376,0.96229,0.10035,2.0,-66.0,5.1588,920.75
103,349.5,0.28376,0.96229,0.10035,2.0,-63.5,5.2201,923.25
104,351.75,0.35411,0.92784,0.031928,3.0,-63.5,4.8857,922.25
105,353.75,0.18995,1.0427,-0.17333,1.0,-68.5,1.4573,921.75
106,355.25,0.31893,0.90487,-0.19613,3.0,-61.5,1.4189,924.75
107,355.5,0.31893,0.90487,-0.19613,3.0,-59.0,0.33441,922.75
